Reporting Name,Accession Number,Issuer Name,Relationship of Reporting Person to Issuer,Transaction with Derivative (D) or Non-Derivative (N) Securities,Non-Derivative Securities: Title,Non-Derivative Securities: Transaction Code,Non-Derivative Securities: Amount (shares),Non-Derivative Securities: Price (per share),Non-Derivative Securities: Acquired (A) or Disposed Of (D),Non-Derivative Securities: Ownership Form: Direct (D) or Indirect (I),Derivative Securities: Title,Derivative Securities: Transaction Code,Derivative Securities: Amount (shares),Derivative Securities: Price (per share),Derivative Securities: Acquired (A) or Disposed Of (D),Derivative Securities: Ownership Form: Direct (D) or Indirect (I),Year,Month,Day,Time
"KING RICHARD",000120919121006375,"SPRUCE BIOSCIENCES, INC.",D O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",A,155000,0.00,A,D,2021,01,29,21:49:46
"Gharib Samir M.",000120919121006374,"SPRUCE BIOSCIENCES, INC.",O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",A,55000,0.00,A,D,2021,01,29,21:48:30
"Dias Subaweerage",000120919121006373,"SPRUCE BIOSCIENCES, INC.",O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Stock Option (Right to Buy)",A,27500,0.00,A,D,2021,01,29,21:46:49
"HARRIS JOSHUA",000095014221000319,"Apollo Global Management, Inc.",D O T ,N,"Class A Common Stock",M,10972,0,A,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:46:17
"HARRIS JOSHUA",000095014221000319,"Apollo Global Management, Inc.",D O T ,N,"Class A Common Stock",S,10972,50.0045,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:46:17
"Forth John Bradford",000089924321003777,"Shoals Technologies Group, Inc.",D ,N,"Class A Common Stock, par value $0.00001 per share",A,375000,0.00,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:36:03
"Morrison Alex G",000117911021000988,"GOLD RESOURCE CORP",D ,N,"Common Stock",A,2614,0,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:35:37
"WILVER PETER M",000089924321003776,"Shoals Technologies Group, Inc.",D ,N,"Class A Common Stock, par value $0.00001 per share",A,4000,0.00,A,D,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:35:37
"Armstrong Mac",000110465921009606,"Palomar Holdings, Inc.",D O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Employee Stock Option (Right to Buy)",A,10077,0,A,D,2021,01,29,21:34:30
"Armstrong Mac",000110465921009606,"Palomar Holdings, Inc.",D O ,D,N/A,N/A,N/A,N/A,N/A,N/A,"Restricted Stock Units",A,7889,0,A,D,2021,01,29,21:34:30
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,12247,248.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,224,248.52,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,15175,249.65,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,277,249.65,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,41118,250.43,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,751,250.43,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,9284,251.35,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,170,251.35,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,6587,252.70,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,120,252.70,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,57010,253.58,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,1041,253.58,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,48685,254.27,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,889,254.27,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,11120,255.42,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,203,255.42,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
"Moran Colin T.",000089924321003772,"APPIAN CORP",T ,N,"Class A Common Stock",S,4600,256.30,D,I,N/A,N/A,N/A,N/A,N/A,N/A,2021,01,29,21:25:16
